feature,importance,stddev,p_value,n,p99_high,p99_low
gateway_memory_utilization_avg_1h,0.06821559374501555,0.009212389749892408,3.89626113766651e-05,5,0.0871840315688017,0.049247155921229406
level_distinct_ipaddress_count_1h_was_missing,0.026744722352844374,0.006927715164035448,0.0004951095843012711,5,0.04100898362679249,0.012480461078896258
gateway_cpu_avg_1h,0.007281199899465541,0.0037757573595936815,0.006262867708845439,5,0.015055536489381547,-0.0004931366904504658
level_distinct_proxy_count_1h,0.004469224714032638,0.0027217878916046805,0.010679932438537003,5,0.010073423601953152,-0.0011349741738878767
extender_memory_utilization_avg_1h,0.003943386386196024,0.002806463078112133,0.017391699734769943,5,0.009721932653470832,-0.0018351598810787849
gateway_tx_op_band_avg_1h_was_missing,0.003737973070566314,0.002731808555888115,0.018835791765821817,5,0.009362804644746718,-0.001886858503614091
gateway_cpu_avg_1h_was_missing,0.0035669299469843763,0.002529956650173194,0.017214219886598076,5,0.008776145657407938,-0.0016422857634391854
extender_device_count_1h,0.001627507988352761,0.0019716425199628545,0.0693330018769314,5,0.005687147187951891,-0.002432131211246369
gateway_band_steering_no_response_sum_1h,0.0015579250731937889,0.0007253881517423937,0.004316414616014616,5,0.003051509303561099,6.434084282647872e-05
gateway_noise_band_avg_1h_was_missing,0.0013209805686447806,0.001606452396629933,0.06990361429348109,5,0.004628688256837523,-0.0019867271195479616
level_rxlevel_avg_1h,0.0010561389391944731,0.001681585335433754,0.11644465954587183,5,0.004518546386831854,-0.002406268508442908
gateway_client_associations_sum_1h,0.0008983498113319443,0.0014440758706987765,0.1182963361865022,5,0.003871721988350345,-0.002075022365686456
extender_bh_uplink_rssi_5_avg_1h,0.000890518318064415,0.0004678812687237709,0.006548117135091075,5,0.0018538923171730261,-7.285568104419622e-05
gateway_channel_automatic_change_24_sum_1h,0.0005706961974308644,0.0005392324112270642,0.038555511431852284,5,0.0016809831851313478,-0.0005395907902696189
gateway_tx_op_band_avg_1h,0.00047553147873364844,0.0006977321967101173,0.10109696575346365,5,0.0019121717154435812,-0.0009611087579762844
extender_client_associations_sum_1h,0.0004430340606170091,0.0008980950111732549,0.16594977531275829,5,0.002292224101614935,-0.0014061559803809167
gateway_noise_band_avg_1h,0.0003188135131153569,0.0006859602748995753,0.17868808451376542,5,0.0017312152001121336,-0.0010935881738814198
gateway_band_steering_requests_sum_1h,0.00020853949932508886,0.0002488027993613528,0.06708818596932711,5,0.0007208279020302478,-0.00030374890338007003
extender_cpu_avg_1h,0.00011110334652471021,0.0006970987189302121,0.36977834047492264,5,0.0015464392437302245,-0.0013242325506808042
has_extender,0.00010630407220046934,0.00015977516855826158,0.10551824345638579,5,0.0004352833525894403,-0.00022267520818850163
gateway_temperature_avg_1h,4.7789539738052333e-05,0.0012046676476472871,0.4667898517117383,5,0.0025282168765201466,-0.002432637797044042
gateway_ap_steering_succ_rate_avg_1h_was_missing,4.075901317242003e-05,0.00018592645458455635,0.3248343490699257,5,0.00042358415293871634,-0.00034206612659387625
extender_bh_retransmissions_rate_5_avg_1h_was_missing,3.607655497932516e-05,5.2886193376822335e-05,0.10093270041856901,5,0.0001449699581070751,-7.281684814842477e-05
gateway_ap_steering_succ_rate_avg_1h,4.718439641626659e-06,8.81826962249668e-05,0.45526586857474793,5,0.00018628782998321962,-0.00017685095069996628
gateway_ap_steering_requests_sum_1h,4.465425014688052e-06,0.0001596126031990817,0.47655997735637645,5,0.0003331099810822156,-0.0003241791310528395
level_distinct_ipaddress_count_1h,0.0,0.0,0.5,5,0.0,0.0
has_wireless_backhaul,-1.3903024202344127e-06,7.18573571190032e-05,0.5162175411024239,5,0.00014656498906201408,-0.00014934559390248288
extender_bh_uplink_rssi_5_avg_1h_was_missing,-2.262558878896037e-06,7.58113213439729e-05,0.525002269567143,5,0.0001538339995921583,-0.00015835911734995037
level_rxlevel_range_1h,-2.2613994162257178e-05,0.0001172403645093534,0.6557629292478886,5,0.00021878553679654391,-0.0002640135251210583
extender_bh_retransmissions_rate_5_avg_1h,-3.723123662391359e-05,0.0005192164503189172,0.5598079057941729,5,0.0010318426109167157,-0.0011063050841645429
gateway_ap_steering_no_response_sum_1h,-0.00011006746540238588,0.00018777798598473925,0.8699248009962609,5,0.0002765700031077705,-0.0004967049339125423
gateway_band_steering_succ_rate_avg_1h,-0.00012065541520918099,0.00044948297166972804,0.7096493162198514,5,0.0008048362359736669,-0.001046147066392029
has_eth_backhaul,-0.00019189200029376963,0.00037448042733656203,0.8421181388899112,5,0.0005791683754617616,-0.0009629523760493008
gateway_band_steering_succ_rate_avg_1h_was_missing,-0.0004391102163220362,0.0005984369317942165,0.9119025074808287,5,0.000793079697519649,-0.0016713001301637213
