rank,feature,condition,score_contribution,abs_score_contribution,direction,support_count,support_pct,business_readable_interpretation
1,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [7.069590559590667e-08, 7.09913764371074e-08)",1.2175084299741028,1.2175084299741028,increases_churn,91993.0,0.007291349875019132,"When gateway_memory_utilization_avg_1h in [7.069590559590667e-08, 7.09913764371074e-08), this term increases_churn."
2,gateway_temperature_avg_1h,"gateway_temperature_avg_1h in [0.0, 3.5)",-1.089316082883438,1.089316082883438,decreases_churn,17082.0,0.0013539164780480776,"When gateway_temperature_avg_1h in [0.0, 3.5), this term decreases_churn."
3,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.2289999999999992, 0.238999999999999)",1.0095676188699327,1.0095676188699327,increases_churn,26.0,2.060755674350194e-06,"When level_rxlevel_range_1h in [0.2289999999999992, 0.238999999999999), this term increases_churn."
4,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.2394999999999996, 0.25200000000000067)",0.9823267082348448,0.9823267082348448,increases_churn,41.0,3.2496531787829987e-06,"When level_rxlevel_range_1h in [0.2394999999999996, 0.25200000000000067), this term increases_churn."
5,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.21899999999999942, 0.2264999999999997)",0.9464900844265861,0.9464900844265861,increases_churn,28.0,2.2192753416079015e-06,"When level_rxlevel_range_1h in [0.21899999999999942, 0.2264999999999997), this term increases_churn."
6,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.2264999999999997, 0.2289999999999992)",0.9464900844265861,0.9464900844265861,increases_churn,28.0,2.2192753416079015e-06,"When level_rxlevel_range_1h in [0.2264999999999997, 0.2289999999999992), this term increases_churn."
7,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.17749999999999844, 0.1850000000000005)",0.9183844916315066,0.9183844916315066,increases_churn,35.0,2.7740941770098766e-06,"When level_rxlevel_range_1h in [0.17749999999999844, 0.1850000000000005), this term increases_churn."
8,gateway_memory_utilization_avg_1h,"gateway_memory_utilization_avg_1h in [9.369774435259821e-08, 1.0126751080972373e-07)",0.9008540859141055,0.9008540859141055,increases_churn,4774.0,0.0003783864457441472,"When gateway_memory_utilization_avg_1h in [9.369774435259821e-08, 1.0126751080972373e-07), this term increases_churn."
9,gateway_channel_automatic_change_24_sum_1h,"gateway_channel_automatic_change_24_sum_1h in [25.5, 26.5)",0.8772284686176625,0.8772284686176625,increases_churn,153.0,1.2126754545214605e-05,"When gateway_channel_automatic_change_24_sum_1h in [25.5, 26.5), this term increases_churn."
10,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.2134999999999998, 0.21899999999999942)",0.8378234764090424,0.8378234764090424,increases_churn,41.0,3.2496531787829987e-06,"When level_rxlevel_range_1h in [0.2134999999999998, 0.21899999999999942), this term increases_churn."
11,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.7544999999999984, 13.665000000000003)",0.828704203923479,0.828704203923479,increases_churn,28.0,2.2192753416079015e-06,"When level_rxlevel_range_1h in [0.7544999999999984, 13.665000000000003), this term increases_churn."
12,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.5905000000000005, 0.7544999999999984)",0.8282645763983115,0.8282645763983115,increases_churn,27.0,2.140015507979048e-06,"When level_rxlevel_range_1h in [0.5905000000000005, 0.7544999999999984), this term increases_churn."
13,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.5449999999999999, 0.5905000000000005)",0.8279503694295682,0.8279503694295682,increases_churn,26.0,2.060755674350194e-06,"When level_rxlevel_range_1h in [0.5449999999999999, 0.5905000000000005), this term increases_churn."
14,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.4580000000000002, 0.4949999999999992)",0.8277053104879202,0.8277053104879202,increases_churn,26.0,2.060755674350194e-06,"When level_rxlevel_range_1h in [0.4580000000000002, 0.4949999999999992), this term increases_churn."
15,gateway_channel_automatic_change_24_sum_1h,"gateway_channel_automatic_change_24_sum_1h in [31.5, 33.5)",0.8268984179261252,0.8268984179261252,increases_churn,137.0,1.0858597207152946e-05,"When gateway_channel_automatic_change_24_sum_1h in [31.5, 33.5), this term increases_churn."
16,level_rxlevel_range_1h,"level_rxlevel_range_1h in [0.4949999999999992, 0.5449999999999999)",0.8267827135052378,0.8267827135052378,increases_churn,26.0,2.060755674350194e-06,"When level_rxlevel_range_1h in [0.4949999999999992, 0.5449999999999999), this term increases_churn."
