feature,score
level_distinct_ipaddress_count_1h,1.4231306798992478e-05
level_distinct_proxy_count_1h,0.06777165485302539
level_rxlevel_avg_1h,0.02618390230259933
level_rxlevel_range_1h,0.0003846705441727557
gateway_cpu_avg_1h,0.07383142334229155
gateway_memory_utilization_avg_1h,0.21642442263419143
gateway_temperature_avg_1h,0.010805692404872795
gateway_client_associations_sum_1h,0.05051128488327099
gateway_band_steering_requests_sum_1h,0.0026128024326431748
gateway_band_steering_no_response_sum_1h,0.0248407869963709
gateway_ap_steering_requests_sum_1h,0.0016022132376047101
gateway_ap_steering_no_response_sum_1h,0.00227836290483693
gateway_band_steering_succ_rate_avg_1h,0.003105583972541813
gateway_ap_steering_succ_rate_avg_1h,0.00025100536513146017
gateway_tx_op_band_avg_1h,0.020955861471224378
gateway_noise_band_avg_1h,0.017173349756354952
gateway_channel_automatic_change_24_sum_1h,0.0018795261677953194
extender_device_count_1h,0.023876436321619933
has_extender,0.002500467963752558
has_wireless_backhaul,0.0017304470046602387
has_eth_backhaul,0.013075199303847424
extender_cpu_avg_1h,0.013729065759184634
extender_memory_utilization_avg_1h,0.0399404790268826
extender_client_associations_sum_1h,0.020088922979701364
extender_bh_uplink_rssi_5_avg_1h,0.009929450286986703
extender_bh_retransmissions_rate_5_avg_1h,0.004490378305658825
level_distinct_ipaddress_count_1h_was_missing,0.10549726362221534
gateway_cpu_avg_1h_was_missing,0.05057819972760466
gateway_band_steering_succ_rate_avg_1h_was_missing,0.007672815657691956
gateway_ap_steering_succ_rate_avg_1h_was_missing,0.0017335833264786713
gateway_tx_op_band_avg_1h_was_missing,0.05458581662078052
gateway_noise_band_avg_1h_was_missing,0.03577422117413577
extender_bh_uplink_rssi_5_avg_1h_was_missing,0.0018493264867125061
extender_bh_retransmissions_rate_5_avg_1h_was_missing,0.0008769469781563056
