feature,importance,stddev,p_value,n,p99_high,p99_low
gateway_memory_utilization_avg_1h,0.05281047321643042,0.014299857232146733,0.0005865709054196531,5,0.0822540769024514,0.023366869530409437
gateway_tx_op_band_avg_1h_was_missing,0.04304788213627988,0.007162674440689594,8.867706315142423e-05,5,0.057795927808341196,0.028299836464218558
gateway_cpu_avg_1h,0.040011209864680874,0.006155411070682686,6.514794780729443e-05,5,0.05268528633603871,0.02733713339332304
gateway_cpu_avg_1h_was_missing,0.039380654976379145,0.006974518306236107,0.00011328132739324212,5,0.05374128456700659,0.025020025385751703
gateway_noise_band_avg_1h_was_missing,0.023014252542237146,0.005043995243923092,0.0002600022450028296,5,0.03339990846489778,0.01262859661957651
level_distinct_proxy_count_1h,0.0140203378973496,0.006401919329911595,0.00403057340215506,5,0.02720197828156598,0.000838697513133221
gateway_client_associations_sum_1h,0.01340179357834892,0.003863704452061011,0.0007445368656997615,5,0.021357214447213155,0.005446372709484686
extender_device_count_1h,0.009230122507806814,0.00271105144846756,0.00079896539160213,5,0.014812214910914584,0.0036480301046990455
extender_client_associations_sum_1h,0.006856033309312126,0.0013316040721665097,0.00016250099999422042,5,0.009597824498627134,0.00411424211999712
level_rxlevel_avg_1h,0.004329810233004938,0.001542405661454034,0.0016442645151949413,5,0.007505644808250551,0.001153975657759325
gateway_noise_band_avg_1h,0.0029986388021458364,0.001922610948505826,0.012589626247554301,5,0.0069573213184266096,-0.0009600437141349368
level_distinct_ipaddress_count_1h_was_missing,0.0026403234846664957,0.0033688924320526064,0.07728323811332453,5,0.009576919565304518,-0.004296272595971528
gateway_temperature_avg_1h,0.002628312915365516,0.0017058279752060173,0.013083320867011012,5,0.006140636293362876,-0.0008840104626318445
gateway_tx_op_band_avg_1h,0.0024881896068539968,0.0018088216875827528,0.018539565708950705,5,0.006212578462159439,-0.001236199248451446
extender_bh_uplink_rssi_5_avg_1h,0.0018115942028985143,0.0013491486746140663,0.01992140074091206,5,0.004589509971145216,-0.0009663215653481873
has_extender,0.0015333493474257054,0.0006728048321894405,0.0035008297870656067,5,0.002918663796054773,0.00014803489879663782
extender_bh_retransmissions_rate_5_avg_1h,0.0010088878212827445,0.00045363202818179873,0.003817419893435748,5,0.001942922437170001,7.485320539548789e-05
gateway_band_steering_succ_rate_avg_1h,0.0009488349747778013,0.00036763810060207115,0.002237740818490832,5,0.00170580690521601,0.00019186304433959245
gateway_band_steering_no_response_sum_1h,0.0008847786051725092,0.0011129506191941256,0.07504831959512921,5,0.0031763593127054944,-0.0014068021023604762
gateway_band_steering_succ_rate_avg_1h_was_missing,0.0006005284650492104,0.00042892149766229036,0.017580833946385516,5,0.0014836837570609725,-0.0002826268269625515
gateway_channel_automatic_change_24_sum_1h,0.00045239811033710443,0.00039113826508776453,0.030461207961211604,5,0.0012577572042581466,-0.0003529609835839378
extender_bh_retransmissions_rate_5_avg_1h_was_missing,0.0003503082712787098,0.000301927759007926,0.030202482508663274,5,0.0009719817001611364,-0.00027136515760371684
gateway_ap_steering_no_response_sum_1h,0.0001921691088157873,0.0004364115642436314,0.19027561650901895,5,0.0010907465514422522,-0.0007064083338106775
gateway_band_steering_requests_sum_1h,9.608455440786034e-05,0.00045858474144073796,0.33190576270477606,5,0.0010403168753490447,-0.0008481477665333241
level_distinct_ipaddress_count_1h,0.0,0.0,0.5,5,0.0,0.0
level_rxlevel_range_1h,0.0,0.0,0.5,5,0.0,0.0
has_wireless_backhaul,-0.00033829770197773,0.0005236433746866651,0.8889622776001275,5,0.0007398912440226893,-0.0014164866479781494
extender_bh_uplink_rssi_5_avg_1h_was_missing,-0.0003703258867804093,0.000535447829093457,0.9015578192889533,5,0.0007321685939984929,-0.0014728203675593117
gateway_ap_steering_succ_rate_avg_1h,-0.0006765954039555267,2.6099777424933466e-05,0.9999997348136819,5,-0.0006228556015003288,-0.0007303352064107246
gateway_ap_steering_requests_sum_1h,-0.001341180238610007,0.00010497326128689251,0.9999955330780972,5,-0.0011250388427356374,-0.0015573216344843765
gateway_ap_steering_succ_rate_avg_1h_was_missing,-0.001517335255024488,0.00010630088916132177,0.9999971281225054,5,-0.0012984602550069014,-0.0017362102550420744
has_eth_backhaul,-0.004399871887260831,0.0020127237074902796,0.9959434592344916,5,-0.00025564595474038016,-0.008544097819781282
extender_cpu_avg_1h,-0.005614941148210461,0.0008197757353992654,0.9999469924982598,5,-0.003927011578518608,-0.007302870717902314
extender_memory_utilization_avg_1h,-0.01840619745375933,0.002265784958861711,0.9999729930483308,5,-0.013740914906986909,-0.023071480000531754
